version:v1.0
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required
MicroHack User01,User01@fabric.microhack.org,dummyHeslo1234,No
MicroHack User02,User02@fabric.microhack.org,dummyHeslo1234,No
MicroHack User03,User03@fabric.microhack.org,dummyHeslo1234,No
MicroHack User04,User04@fabric.microhack.org,dummyHeslo1234,No
MicroHack User05,User05@fabric.microhack.org,dummyHeslo1234,No
MicroHack User06,User06@fabric.microhack.org,dummyHeslo1234,No
MicroHack User07,User07@fabric.microhack.org,dummyHeslo1234,No
MicroHack User08,User08@fabric.microhack.org,dummyHeslo1234,No
MicroHack User09,User09@fabric.microhack.org,dummyHeslo1234,No
MicroHack User10,User10@fabric.microhack.org,dummyHeslo1234,No
MicroHack User11,User11@fabric.microhack.org,dummyHeslo1234,No
MicroHack User12,User12@fabric.microhack.org,dummyHeslo1234,No
MicroHack User13,User13@fabric.microhack.org,dummyHeslo1234,No
MicroHack User14,User14@fabric.microhack.org,dummyHeslo1234,No
MicroHack User15,User15@fabric.microhack.org,dummyHeslo1234,No
MicroHack User16,User16@fabric.microhack.org,dummyHeslo1234,No
MicroHack User17,User17@fabric.microhack.org,dummyHeslo1234,No
MicroHack User18,User18@fabric.microhack.org,dummyHeslo1234,No
MicroHack User19,User19@fabric.microhack.org,dummyHeslo1234,No
MicroHack User20,User20@fabric.microhack.org,dummyHeslo1234,No
MicroHack User21,User21@fabric.microhack.org,dummyHeslo1234,No
MicroHack User22,User22@fabric.microhack.org,dummyHeslo1234,No
MicroHack User23,User23@fabric.microhack.org,dummyHeslo1234,No
MicroHack User24,User24@fabric.microhack.org,dummyHeslo1234,No
MicroHack User25,User25@fabric.microhack.org,dummyHeslo1234,No
MicroHack User26,User26@fabric.microhack.org,dummyHeslo1234,No
MicroHack User27,User27@fabric.microhack.org,dummyHeslo1234,No
MicroHack User28,User28@fabric.microhack.org,dummyHeslo1234,No
MicroHack User29,User29@fabric.microhack.org,dummyHeslo1234,No
MicroHack User30,User30@fabric.microhack.org,dummyHeslo1234,No
MicroHack User99,User99@fabric.microhack.org,dummyHeslo1234,No
